Category_Number Criterion_Number
--------------- ----------------
1               1
1               2
1               3
1               4
1               10
2               1
2               2
2               3
2               4
2               6
2               10
3               1
3               2
3               3
3               4
3               9
3               10
4               1
4               2
4               3
4               4
4               8
4               10
5               3
5               4
5               5
5               6
5               10
6               3
6               5
6               6
6               7
6               10
7               3
7               5
7               6
7               9
7               10
8               3
8               5
8               6
8               8
8               10
10              3
10              5
10              6
10              10
11              3
11              5
11              6
11              10
12              3
12              5
12              6
12              10
13              3
13              5
13              6
13              10
14              3
14              5
14              6
14              10

(63 rows affected)


Completion time: 2024-12-05T16:48:43.9202054+02:00
